Num,Name,Epoch,q,e,i,w,Node,Tp,Ref
 1P,Coyote,49400,0.585978,0.967143,62.262690,111.332490,58.420080,19860205.895320,JPL J863/77
 2P,Coyote,57720,0.335906,0.848333,11.778370,186.561040,334.561110,20170310.091940,JPL K173/2
 3D,Coyote,-9480,0.879073,0.751299,13.216400,221.658800,250.669000,18321126.615200,IAUCAT03
 4P,Coyote,57262,1.651876,0.569618,9.070290,205.125820,199.143980,20140529.868720,JPL K144/7
 5D,Coyote, 7440,0.589847,0.809796,29.382100,14.946800,102.967600,18790331.034100,IAUCAT03
 6P,Coyote,57200,1.361455,0.611422,19.481680,178.115230,138.933710,20150302.418700,JPL K155/3
 7P,Coyote,57380,1.238961,0.637617,22.335090,172.500060,93.409600,20150130.530220,JPL K088/17
 8P,Coyote,54374,1.027117,0.819800,54.983180,207.509250,270.341650,20080127.025550,JPL K074/27
 9P,Coyote,57375,1.542369,0.509819,10.473320,179.187270,68.768280,20160802.559550,JPL 160
10P,Coyote,57262,1.417645,0.537352,12.028910,195.547670,117.805390,20151114.258660,JPL K1013/12
Wile E. Was here
